id,fullName,shortName,nationality,dateOfBirth,rightArmedBowl,rightHandedBat,bowlingStyle,teamId
2119,Andy Roberts,A Roberts,West Indian,1951-01-29,true,true,FAST_SEAM,2815
1960,Rohan Kanhai,R Kanhai,West Indian,1935-12-26,true,true,MEDIUM_SEAM,2815
2010,Roy Fredericks,RC Fredericks,Guyanan,1942-11-11,false,true,,2815
2043,Vanburn Holder,VA Holder,Barbados,1945-10-10,false,true,,2815
2028,Clive Lloyd,C Lloyd,West Indian,1944-08-31,true,false,MEDIUM_SEAM,2815
2140,Viv Richards,V Richards,West Indian,1952-03-07,true,true,MEDIUM_SEAM,2815
2093,Alvin Kallicharran,AI Kallicharran,Guyanan,1949-03-21,false,true,,2815
2110,Bernard Julien,BD Julien,Trinidadian,1950-03-13,false,true,,2815
2065,Rick McCosker,RB McCosker,Australian,1946-12-11,false,true,,2816
2114,Alan Turner,A Turner,Australian,1950-07-23,false,true,,2816
2083,Greg Chappell,G Chappell,Australian,1948-08-07,true,true,MEDIUM_SEAM,2816
2115,Jeff Thomson,J Thomson,Australian,1950-08-16,true,true,FAST_SEAM,2816
2020,Ian Chappell,I Chappell,Australian,1943-09-26,true,true,LEG_SPIN,2816
2084,Max Walker,MHN Walker,Australian,1948-09-12,false,true,,2816
2101,Dennis Lillee,D Lillee,Australian,1949-07-18,true,true,FAST_SEAM,2816
2039,Ashley Mallett,AA Mallett,Australian,1945-07-13,false,true,,2816
2012,Ross Edwards,R Edwards,Australian,1942-12-01,false,true,,2816
2076,Rod Marsh,RW Marsh,Australian,1947-11-04,false,false,,2816
2046,Doug Walters,D Walters,Australian,1945-12-21,true,true,MEDIUM_SEAM,2816
1970,Michael Tissera,MH Tissera,Sri Lankan,1939-03-23,false,true,,2817
2099,Lalith Kaluperuma,LWS Kaluperuma,Sri Lankan,1949-06-25,false,true,,2817
2163,Bandula Warnapura,B Warnapura,Sri Lankan,1953-03-01,false,true,,2817
2148,Duleep Mendis,LRD Mendis,Sri Lankan,1952-08-25,false,true,,2817
2006,Somachandra de Silva,DS de Silva,Sri Lankan,1942-06-11,false,true,,2817
2071,Tony Opatha,ARM Opatha,Sri Lankan,1947-08-05,false,true,,2817
2215,Anura Ranasinghe,AN Ranasinghe,Sri Lankan,1956-10-13,false,true,,2817
2025,Ranjit Fernando,ER Fernando,Sri Lankan,1944-02-22,false,true,,2817
2058,Anura Tennekoon,APB Tennekoon,Sri Lankan,1946-10-29,false,true,,2817
2090,Sunil Wettimuny,SRD Wettimuny,Sri Lankan,1949-02-02,false,true,,2817
2048,Mevan Pieris,HSM Pieris,Sri Lankan,1946-02-16,false,true,,2817
2001,Jawahir Shah,JN Shah,Kenyan,1941-11-30,false,true,,2818
1954,Parbhu Nana,PG Nana,Indian,1933-08-17,false,true,,2818
1987,Praful Mehta,PS Mehta,Tanzanian,1940-11-30,false,true,,2818
2003,Mehmood Quaraishy,Mehmood Quaraishy,Kenyan,1942-02-04,false,true,,2818
2102,Frasat Ali,F Ali,Pakistani,1949-07-31,false,true,,2818
1946,Don Pringle,DJ Pringle,English,1932-05-01,false,true,,2818
2011,Yunus Badat,Yunus Badat,Zambian,1942-11-30,false,true,,2818
2077,Samawiri Walusimbi,S Walusimbi,Ugandan,1947-11-30,false,true,,2818
1997,Ramesh Sethi,RK Sethi,Kenyan,1941-09-04,false,true,,2818
2061,Zulfiqar Ali,Zulfiqar Ali,Kenyan,1946-11-30,false,true,,2818
2015,Harilal Shah,HR Shah,Kenyan,1943-04-14,false,true,,2818
2033,Srinivasaraghavan Venkataraghavan,S Venkataraghavan,Indian,1945-04-21,false,true,,2819
2100,Sunil Gavaskar,S Gavaskar,Indian,1949-07-10,true,true,MEDIUM_SEAM,2819
2116,Mohinder Amarnath,M Amarnath,Indian,1950-09-24,false,true,,2819
2150,Anshuman Gaekwad,AD Gaekwad,Indian,1952-09-23,false,true,,2819
2055,Bishan Bedi,B Bedi,Indian,1946-09-25,false,true,ORTHODOX,2819
2091,Gundappa Viswanath,G Viswanath,Indian,1949-02-12,true,true,LEG_SPIN,2819
1964,Farokh Engineer,FM Engineer,Indian,1938-02-25,false,true,,2819
2157,Brijesh Patel,BP Patel,Indian,1952-11-24,false,true,,2819
1998,Syed Abid Ali,S Abid Ali,Indian,1941-09-09,false,true,,2819
2079,Eknath Solkar,ED Solkar,Indian,1948-03-18,false,true,,2819
2127,Madan Lal,Madan Lal,Indian,1951-03-20,false,true,,2819
2050,Alan Knott,APE Knott,English,1946-04-09,true,true,OFF_SPIN,2820
1988,Mike Denness,MH Denness,Scottish,1940-12-01,false,true,,2820
2036,Derek Underwood,D Underwood,English,1945-06-08,false,true,ORTHODOX,2820
2057,Tony Greig,AW Greig,South African,1946-10-06,false,true,,2820
2089,Chris Old,CM Old,English,1948-12-22,false,true,,2820
2026,Keith Fletcher,KWR Fletcher,English,1944-05-20,false,true,,2820
1995,John Jameson,JA Jameson,Indian,1941-06-30,false,true,,2820
2029,Geoff Arnold,GG Arnold,English,1944-09-03,false,true,,2820
2014,Dennis Amiss,DL Amiss,English,1943-04-07,false,true,,2820
1982,Peter Lever,P Lever,English,1940-09-17,false,true,,2820
2063,Frank Hayes,FC Hayes,English,1946-12-06,false,true,,2820
2049,Richard Collinge,RO Collinge,New Zealander,1946-04-02,false,true,,2821
2002,Barry Hadlee,BG Hadlee,New Zealander,1941-12-14,false,true,,2821
2068,Glenn Turner,GM Turner,New Zealander,1947-05-26,false,true,,2821
2133,Richard Hadlee,RJ Hadlee,New Zealander,1951-07-03,false,false,,2821
1976,Brian Hastings,BF Hastings,New Zealander,1940-03-23,false,true,,2821
2024,Hedley Howarth,HJ Howarth,New Zealander,1943-12-25,false,true,,2821
2073,John Morrison,JFM Morrison,New Zealander,1947-08-27,false,true,,2821
2121,John Parker,JM Parker,New Zealander,1951-02-21,false,true,,2821
2171,Brian McKechnie,BJ McKechnie,New Zealander,1953-11-06,false,true,,2821
2060,Ken Wadsworth,KJ Wadsworth,New Zealander,1946-11-30,false,true,,2821
2078,Dayle Hadlee,DR Hadlee,New Zealander,1948-01-06,false,true,,2821
2145,Wasim Raja,W Raja,Pakistani,1952-07-03,false,true,,2822
2035,Sadiq Mohammad,Sadiq Mohammad,Indian,1945-05-03,false,true,,2822
2227,Javed Miandad,J Miandad,Pakistani,1957-06-12,true,true,LEG_SPIN,2822
2070,Zaheer Abbas,Zaheer Abbas,Pakistani,1947-07-24,true,true,OFF_SPIN,2822
2022,Mushtaq Mohammad,Mushtaq Mohammad,Indian,1943-11-22,false,true,,2822
2056,Majid Khan,Majid Khan,Indian,1946-09-28,false,true,,2822
2088,Sarfraz Nawaz,Sarfraz Nawaz,Pakistani,1948-12-01,true,true,FAST_SEAM,2822
2170,Parvez Mir,Parvez Mir,Pakistani,1953-09-24,false,true,,2822
2108,Naseer Malik,N Malik,Pakistani,1950-02-01,false,true,,2822
2047,Asif Masood,Asif Masood,Indian,1946-01-23,false,true,,2822
2080,Wasim Bari,Wasim Bari,Pakistani,1948-03-23,false,true,,2822
2129,Gordon Greenidge,C Greenidge,West Indian,1951-05-01,true,true,MEDIUM_SEAM,2823
2017,Deryck Murray,DL Murray,Trinidadian,1943-05-20,false,true,,2823
2021,Keith Boyce,KD Boyce,Barbados,1943-10-11,false,true,,2823
2119,Andy Roberts,A Roberts,West Indian,1951-01-29,true,true,FAST_SEAM,2823
1960,Rohan Kanhai,R Kanhai,West Indian,1935-12-26,true,true,MEDIUM_SEAM,2823
2010,Roy Fredericks,RC Fredericks,Guyanan,1942-11-11,false,true,,2823
2043,Vanburn Holder,VA Holder,Barbados,1945-10-10,false,true,,2823
2028,Clive Lloyd,C Lloyd,West Indian,1944-08-31,true,false,MEDIUM_SEAM,2823
2140,Viv Richards,V Richards,West Indian,1952-03-07,true,true,MEDIUM_SEAM,2823
2093,Alvin Kallicharran,AI Kallicharran,Guyanan,1949-03-21,false,true,,2823
2110,Bernard Julien,BD Julien,Trinidadian,1950-03-13,false,true,,2823
2065,Rick McCosker,RB McCosker,Australian,1946-12-11,false,true,,2824
2114,Alan Turner,A Turner,Australian,1950-07-23,false,true,,2824
2083,Greg Chappell,G Chappell,Australian,1948-08-07,true,true,MEDIUM_SEAM,2824
2115,Jeff Thomson,J Thomson,Australian,1950-08-16,true,true,FAST_SEAM,2824
2020,Ian Chappell,I Chappell,Australian,1943-09-26,true,true,LEG_SPIN,2824
2084,Max Walker,MHN Walker,Australian,1948-09-12,false,true,,2824
2101,Dennis Lillee,D Lillee,Australian,1949-07-18,true,true,FAST_SEAM,2824
2039,Ashley Mallett,AA Mallett,Australian,1945-07-13,false,true,,2824
2012,Ross Edwards,R Edwards,Australian,1942-12-01,false,true,,2824
2076,Rod Marsh,RW Marsh,Australian,1947-11-04,false,false,,2824
2046,Doug Walters,D Walters,Australian,1945-12-21,true,true,MEDIUM_SEAM,2824
2129,Gordon Greenidge,C Greenidge,West Indian,1951-05-01,true,true,MEDIUM_SEAM,2825
2017,Deryck Murray,DL Murray,Trinidadian,1943-05-20,false,true,,2825
2021,Keith Boyce,KD Boyce,Barbados,1943-10-11,false,true,,2825
2119,Andy Roberts,A Roberts,West Indian,1951-01-29,true,true,FAST_SEAM,2825
1960,Rohan Kanhai,R Kanhai,West Indian,1935-12-26,true,true,MEDIUM_SEAM,2825
2010,Roy Fredericks,RC Fredericks,Guyanan,1942-11-11,false,true,,2825
2043,Vanburn Holder,VA Holder,Barbados,1945-10-10,false,true,,2825
2140,Viv Richards,V Richards,West Indian,1952-03-07,true,true,MEDIUM_SEAM,2825
2028,Clive Lloyd,C Lloyd,West Indian,1944-08-31,true,false,MEDIUM_SEAM,2825
2093,Alvin Kallicharran,AI Kallicharran,Guyanan,1949-03-21,false,true,,2825
2110,Bernard Julien,BD Julien,Trinidadian,1950-03-13,false,true,,2825
2050,Alan Knott,APE Knott,English,1946-04-09,true,true,OFF_SPIN,2826
1988,Mike Denness,MH Denness,Scottish,1940-12-01,false,true,,2826
2036,Derek Underwood,D Underwood,English,1945-06-08,false,true,ORTHODOX,2826
2057,Tony Greig,AW Greig,South African,1946-10-06,false,true,,2826
2089,Chris Old,CM Old,English,1948-12-22,false,true,,2826
2026,Keith Fletcher,KWR Fletcher,English,1944-05-20,false,true,,2826
2013,Barry Wood,B Wood,English,1942-12-26,false,true,,2826
2014,Dennis Amiss,DL Amiss,English,1943-04-07,false,true,,2826
1982,Peter Lever,P Lever,English,1940-09-17,false,true,,2826
2063,Frank Hayes,FC Hayes,English,1946-12-06,false,true,,2826
1999,John Snow,J Snow,English,1941-10-13,true,true,FAST_SEAM,2826
2001,Jawahir Shah,JN Shah,Kenyan,1941-11-30,false,true,,2827
1954,Parbhu Nana,PG Nana,Indian,1933-08-17,false,true,,2827
2003,Mehmood Quaraishy,Mehmood Quaraishy,Kenyan,1942-02-04,false,true,,2827
2102,Frasat Ali,F Ali,Pakistani,1949-07-31,false,true,,2827
1946,Don Pringle,DJ Pringle,English,1932-05-01,false,true,,2827
2011,Yunus Badat,Yunus Badat,Zambian,1942-11-30,false,true,,2827
2077,Samawiri Walusimbi,S Walusimbi,Ugandan,1947-11-30,false,true,,2827
1997,Ramesh Sethi,RK Sethi,Kenyan,1941-09-04,false,true,,2827
2061,Zulfiqar Ali,Zulfiqar Ali,Kenyan,1946-11-30,false,true,,2827
1933,Hamish McLeod,HG McLeod,,1970-01-01,false,true,,2827
2015,Harilal Shah,HR Shah,Kenyan,1943-04-14,false,true,,2827
2033,Srinivasaraghavan Venkataraghavan,S Venkataraghavan,Indian,1945-04-21,false,true,,2828
2100,Sunil Gavaskar,S Gavaskar,Indian,1949-07-10,true,true,MEDIUM_SEAM,2828
2116,Mohinder Amarnath,M Amarnath,Indian,1950-09-24,false,true,,2828
2150,Anshuman Gaekwad,AD Gaekwad,Indian,1952-09-23,false,true,,2828
2055,Bishan Bedi,B Bedi,Indian,1946-09-25,false,true,ORTHODOX,2828
2091,Gundappa Viswanath,G Viswanath,Indian,1949-02-12,true,true,LEG_SPIN,2828
1964,Farokh Engineer,FM Engineer,Indian,1938-02-25,false,true,,2828
2157,Brijesh Patel,BP Patel,Indian,1952-11-24,false,true,,2828
1998,Syed Abid Ali,S Abid Ali,Indian,1941-09-09,false,true,,2828
2079,Eknath Solkar,ED Solkar,Indian,1948-03-18,false,true,,2828
2127,Madan Lal,Madan Lal,Indian,1951-03-20,false,true,,2828
2049,Richard Collinge,RO Collinge,New Zealander,1946-04-02,false,true,,2829
2068,Glenn Turner,GM Turner,New Zealander,1947-05-26,false,true,,2829
2133,Richard Hadlee,RJ Hadlee,New Zealander,1951-07-03,false,false,,2829
1976,Brian Hastings,BF Hastings,New Zealander,1940-03-23,false,true,,2829
2024,Hedley Howarth,HJ Howarth,New Zealander,1943-12-25,false,true,,2829
2073,John Morrison,JFM Morrison,New Zealander,1947-08-27,false,true,,2829
2121,John Parker,JM Parker,New Zealander,1951-02-21,false,true,,2829
2171,Brian McKechnie,BJ McKechnie,New Zealander,1953-11-06,false,true,,2829
2060,Ken Wadsworth,KJ Wadsworth,New Zealander,1946-11-30,false,true,,2829
2078,Dayle Hadlee,DR Hadlee,New Zealander,1948-01-06,false,true,,2829
2128,Geoff Howarth,GP Howarth,New Zealander,1951-03-29,false,true,,2829
2145,Wasim Raja,W Raja,Pakistani,1952-07-03,false,true,,2830
2035,Sadiq Mohammad,Sadiq Mohammad,Indian,1945-05-03,false,true,,2830
2227,Javed Miandad,J Miandad,Pakistani,1957-06-12,true,true,LEG_SPIN,2830
2070,Zaheer Abbas,Zaheer Abbas,Pakistani,1947-07-24,true,true,OFF_SPIN,2830
2022,Mushtaq Mohammad,Mushtaq Mohammad,Indian,1943-11-22,false,true,,2830
2056,Majid Khan,Majid Khan,Indian,1946-09-28,false,true,,2830
2170,Parvez Mir,Parvez Mir,Pakistani,1953-09-24,false,true,,2830
2108,Naseer Malik,N Malik,Pakistani,1950-02-01,false,true,,2830
2158,Imran Khan,Imran Khan,Pakistani,1952-10-05,true,true,FAST_SEAM,2830
2047,Asif Masood,Asif Masood,Indian,1946-01-23,false,true,,2830
2080,Wasim Bari,Wasim Bari,Pakistani,1948-03-23,false,true,,2830
1970,Michael Tissera,MH Tissera,Sri Lankan,1939-03-23,false,true,,2831
2163,Bandula Warnapura,B Warnapura,Sri Lankan,1953-03-01,false,true,,2831
2099,Lalith Kaluperuma,LWS Kaluperuma,Sri Lankan,1949-06-25,false,true,,2831
2038,David Heyn,PD Heyn,Sri Lankan,1945-06-26,false,true,,2831
2006,Somachandra de Silva,DS de Silva,Sri Lankan,1942-06-11,false,true,,2831
2215,Anura Ranasinghe,AN Ranasinghe,Sri Lankan,1956-10-13,false,true,,2831
2071,Tony Opatha,ARM Opatha,Sri Lankan,1947-08-05,false,true,,2831
2025,Ranjit Fernando,ER Fernando,Sri Lankan,1944-02-22,false,true,,2831
2058,Anura Tennekoon,APB Tennekoon,Sri Lankan,1946-10-29,false,true,,2831
2048,Mevan Pieris,HSM Pieris,Sri Lankan,1946-02-16,false,true,,2831
2160,Ajit de Silva,GRA de Silva,Sri Lankan,1952-12-12,false,true,,2831
2050,Alan Knott,APE Knott,English,1946-04-09,true,true,OFF_SPIN,2832
1988,Mike Denness,MH Denness,Scottish,1940-12-01,false,true,,2832
2057,Tony Greig,AW Greig,South African,1946-10-06,false,true,,2832
2089,Chris Old,CM Old,English,1948-12-22,false,true,,2832
2026,Keith Fletcher,KWR Fletcher,English,1944-05-20,false,true,,2832
2013,Barry Wood,B Wood,English,1942-12-26,false,true,,2832
2029,Geoff Arnold,GG Arnold,English,1944-09-03,false,true,,2832
2014,Dennis Amiss,DL Amiss,English,1943-04-07,false,true,,2832
1982,Peter Lever,P Lever,English,1940-09-17,false,true,,2832
2063,Frank Hayes,FC Hayes,English,1946-12-06,false,true,,2832
1999,John Snow,J Snow,English,1941-10-13,true,true,FAST_SEAM,2832
2065,Rick McCosker,RB McCosker,Australian,1946-12-11,false,true,,2833
2114,Alan Turner,A Turner,Australian,1950-07-23,false,true,,2833
2083,Greg Chappell,G Chappell,Australian,1948-08-07,true,true,MEDIUM_SEAM,2833
2131,Gary Gilmour,GJ Gilmour,Australian,1951-06-26,false,true,,2833
2115,Jeff Thomson,J Thomson,Australian,1950-08-16,true,true,FAST_SEAM,2833
2020,Ian Chappell,I Chappell,Australian,1943-09-26,true,true,LEG_SPIN,2833
2084,Max Walker,MHN Walker,Australian,1948-09-12,false,true,,2833
2101,Dennis Lillee,D Lillee,Australian,1949-07-18,true,true,FAST_SEAM,2833
2012,Ross Edwards,R Edwards,Australian,1942-12-01,false,true,,2833
2076,Rod Marsh,RW Marsh,Australian,1947-11-04,false,false,,2833
2046,Doug Walters,D Walters,Australian,1945-12-21,true,true,MEDIUM_SEAM,2833
2049,Richard Collinge,RO Collinge,New Zealander,1946-04-02,false,true,,2834
2068,Glenn Turner,GM Turner,New Zealander,1947-05-26,false,true,,2834
2103,Lance Cairns,BL Cairns,New Zealander,1949-10-10,false,true,,2834
1976,Brian Hastings,BF Hastings,New Zealander,1940-03-23,false,true,,2834
2024,Hedley Howarth,HJ Howarth,New Zealander,1943-12-25,false,true,,2834
2073,John Morrison,JFM Morrison,New Zealander,1947-08-27,false,true,,2834
2121,John Parker,JM Parker,New Zealander,1951-02-21,false,true,,2834
2171,Brian McKechnie,BJ McKechnie,New Zealander,1953-11-06,false,true,,2834
2060,Ken Wadsworth,KJ Wadsworth,New Zealander,1946-11-30,false,true,,2834
2078,Dayle Hadlee,DR Hadlee,New Zealander,1948-01-06,false,true,,2834
2128,Geoff Howarth,GP Howarth,New Zealander,1951-03-29,false,true,,2834
2129,Gordon Greenidge,C Greenidge,West Indian,1951-05-01,true,true,MEDIUM_SEAM,2835
2017,Deryck Murray,DL Murray,Trinidadian,1943-05-20,false,true,,2835
2021,Keith Boyce,KD Boyce,Barbados,1943-10-11,false,true,,2835
2119,Andy Roberts,A Roberts,West Indian,1951-01-29,true,true,FAST_SEAM,2835
1960,Rohan Kanhai,R Kanhai,West Indian,1935-12-26,true,true,MEDIUM_SEAM,2835
2010,Roy Fredericks,RC Fredericks,Guyanan,1942-11-11,false,true,,2835
2043,Vanburn Holder,VA Holder,Barbados,1945-10-10,false,true,,2835
2140,Viv Richards,V Richards,West Indian,1952-03-07,true,true,MEDIUM_SEAM,2835
2028,Clive Lloyd,C Lloyd,West Indian,1944-08-31,true,false,MEDIUM_SEAM,2835
2093,Alvin Kallicharran,AI Kallicharran,Guyanan,1949-03-21,false,true,,2835
2110,Bernard Julien,BD Julien,Trinidadian,1950-03-13,false,true,,2835
2065,Rick McCosker,RB McCosker,Australian,1946-12-11,false,true,,2836
2114,Alan Turner,A Turner,Australian,1950-07-23,false,true,,2836
2115,Jeff Thomson,J Thomson,Australian,1950-08-16,true,true,FAST_SEAM,2836
2131,Gary Gilmour,GJ Gilmour,Australian,1951-06-26,false,true,,2836
2083,Greg Chappell,G Chappell,Australian,1948-08-07,true,true,MEDIUM_SEAM,2836
2084,Max Walker,MHN Walker,Australian,1948-09-12,false,true,,2836
2020,Ian Chappell,I Chappell,Australian,1943-09-26,true,true,LEG_SPIN,2836
2101,Dennis Lillee,D Lillee,Australian,1949-07-18,true,true,FAST_SEAM,2836
2012,Ross Edwards,R Edwards,Australian,1942-12-01,false,true,,2836
2076,Rod Marsh,RW Marsh,Australian,1947-11-04,false,false,,2836
2046,Doug Walters,D Walters,Australian,1945-12-21,true,true,MEDIUM_SEAM,2836
2129,Gordon Greenidge,C Greenidge,West Indian,1951-05-01,true,true,MEDIUM_SEAM,2837
2017,Deryck Murray,DL Murray,Trinidadian,1943-05-20,false,true,,2837
2021,Keith Boyce,KD Boyce,Barbados,1943-10-11,false,true,,2837
2119,Andy Roberts,A Roberts,West Indian,1951-01-29,true,true,FAST_SEAM,2837
1960,Rohan Kanhai,R Kanhai,West Indian,1935-12-26,true,true,MEDIUM_SEAM,2837
2010,Roy Fredericks,RC Fredericks,Guyanan,1942-11-11,false,true,,2837
2043,Vanburn Holder,VA Holder,Barbados,1945-10-10,false,true,,2837
2140,Viv Richards,V Richards,West Indian,1952-03-07,true,true,MEDIUM_SEAM,2837
2028,Clive Lloyd,C Lloyd,West Indian,1944-08-31,true,false,MEDIUM_SEAM,2837
2093,Alvin Kallicharran,AI Kallicharran,Guyanan,1949-03-21,false,true,,2837
2110,Bernard Julien,BD Julien,Trinidadian,1950-03-13,false,true,,2837
2097,Tariq Javed,Tariq Javed,Pakistani,1949-06-12,false,true,,2838
2243,Martin Stead,MP Stead,Canadian,1958-06-01,false,true,,2838
1972,Cecil Marshall,CA Marshall,Trinidadian,1939-09-13,false,true,,2838
2180,John Valentine,JN Valentine,Canadian,1954-09-20,false,true,,2838
2053,Bryan Mauricette,BM Mauricette,St Lucian,1946-09-04,false,true,,2838
2037,John Vaughan,JCB Vaughan,Barbados,1945-06-08,false,true,,2838
2213,Cornelius Henry,CC Henry,St Lucian,1956-09-16,false,true,,2838
1977,Glenroy Sealy,GR Sealy,Barbados,1940-06-11,false,true,,2838
2074,Franklyn Dennis,FA Dennis,Jamaican,1947-09-26,false,true,,2838
