id,fullName,shortName,city,country
392,Clontarf Cricket Club,Clontarf Cricket Club,Dublin,Ireland
393,The Grange,The Grange,Edinburgh,Scotland
394,Brisbane Cricket Ground,Brisbane Cricket Ground,Brisbane,Australia
395,Blundstone Arena,Blundstone Arena,Hobart,Australia
401,Sportpark Maarschalkerweerd,Sportpark Maarschalkerweerd,Utrecht,Netherlands
412,Brian Lara Stadium,Brian Lara Cricket Academy,Tarouba,Trinidad & Tobago
427,Cobham Oval,Cobham Oval,Whangarei,New Zealand
429,Cazaly's Stadium,Cazaly's Stadium,Cairns,Australia
441,Barsapara Cricket Ground,Barsapara Cricket Ground,Guwahati,India
442,Rajiv Gandhi International Stadium,Rajiv Gandhi International Stadium,Hyderabad,India
444,Greenfield Stadium,Greenfield Stadium,Thiruvananthapuram,India
449,Punjab Cricket Association Stadium,Punjab Cricket Association Stadium,"Mohali, Chandigarh",India
458,Perth Stadium,Perth Stadium,Perth,Australia
465,Old Hararians Sports Club,Old Hararians Sports Club,Harare,Zimbabwe
467,Bulawayo Athletic Club,Bulawayo Athletic Club,Bulawayo,Zimbabwe
478,Bready,Bready,Derry,Northern Ireland
486,Rajiv Gandhi International Cricket Stadium,Rajiv Gandhi International Cricket Stadium,Dehradun,India
527,OC Turf 1,OC Turf 1,Al Amarat,Oman
528,OC Turf 2,OC Turf 2,Al Amarat,Oman
531,Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Lucknow,India
588,Oman Cricket Academy Ground,Oman Cricket Academy Ground,Al Amerat,Oman
942,Al Amerat Cricket Ground 2,Al Amerat Cricket Ground 2,Al Amerat,Oman
1010,Tribhuvan University International Cricket Ground,Tribhuvan University International Cricket Ground,Kirtipur,Nepal
1013,Wanderers,Wanderers,Windhoek,Namibia
1057,West End Park International Cricket Stadium,West End Park International Cricket Stadium,Doha,Qatar
1503,Harare Sports Club,,,
100001,Pallekele International Cricket Stadium,,,
100008,County Ground,,Chelmsford,
100009,The Village,,Malahide,
100013,R.Premadasa Stadium,,Khettarama,
100014,Grange Cricket Club,,Raeburn Place,
100016,Moosa Stadium,,Pearland,
100018,Titwood,,Glasgow,
100019,New Cambusdoon Ground,,Ayr,
100021,Multan Cricket Stadium,,,
100027,Bulawayo Athletic Club,,,
100112,Rajiv Gandhi International Stadium,,Uppal,
100113,Barsapara Cricket Stadium,,Guwahati,
100144,Sylhet International Cricket Stadium,,Sylhet,
100148,De Beers Diamond Oval,,,
100165,Shaheed Veer Narayan Singh International Cricket Stadium,,,
100178,YS Raja Reddy Stadium,,Kadapa,
100187,United Cricket Club Ground,,,
100194,Mahinda Rajapaksa International Cricket Stadium,,Sooriyawewa,
100236,Takashinga Sports Club,,,
